c_1 c_2 c_3 dis_1 dis_2 ang_1 e_dir e_har e_nor e_int delta_har delta_nor delta_int e_1 e_2 e_3 e_dis_1 e_dis_2 e_ang_1
1.2265653739474993 -0.40204044800585037 -0.3551409026905142 0.7 1.36316 59.99998 6.4392196577 4.3228239821 5.185465814337894 7.022507549972751 2.1163956756 1.2537538434 -0.5832878923 2.310654121599266 1.7957007035855357 1.0791109891530921 3.4607794544 1.9095520792389802 1.6521760163337706
1.2601578252222114 -0.3696920188110165 -0.3891740470556184 0.7 1.4 60.00009 6.5852853681 4.4520229259 5.218330946420071 7.242456460312162 2.1332624422 1.3669544217 -0.6571710922 2.435162849262863 1.4698978295638898 1.313270267593318 3.4607794544 2.1295103381 1.652166667812162
0.6223950508106165 -0.9358587524792239 0.3049531511616175 0.73684 0.7 60.00009 8.7308109403 7.927698916 18.94926253420532 7.404945503781586 0.8031120243 -10.2184515939 1.3258654365 0.5911627786656289 17.57637159692716 0.7817281586125321 2.2919993815694237 3.4607794544 1.652166667812162
0.6559841744704726 -0.903522827690072 0.27093251868251417 0.73684 0.73684 59.99992 7.4517083122 7.3790959826 17.027171443727863 6.2361798786807805 0.0726123296 -9.5754631315 1.2155284335 0.6584849884066563 15.758002944077424 0.6106835112437797 2.2919993815694237 2.2919993815694237 1.6521811155419333
0.6895766257451849 -0.8711743984952384 0.23689937431741018 0.73684 0.77368 60.00013 6.483264867 6.8678143267 15.285347753793783 5.383330617460816 -0.3845494597 -8.8020828868 1.0999342495 0.7293962298835355 14.09330002454558 0.4626514993646666 2.2919993815694237 1.4391679675330689 1.6521632683583227
0.723181549350119 -0.8388300698049297 0.20286942880348027 0.73684 0.81053 59.99971 5.7590394777 6.3941745011 13.714060987659856 4.7815900244765075 -0.6351350234 -7.9550215100 0.9774494532 0.8038708167636793 12.573556136774883 0.33663403412129433 2.2919993815694237 0.8373916800556536 1.6521989628514304
0.7567706730099751 -0.8064941450157777 0.1688487963243768 0.73684 0.84737 59.99957 5.2273598611 5.9581785736 12.302696035609605 4.374378299593922 -0.7308187125 -7.0753361745 0.8529815615 0.8817980740289256 11.189272535479752 0.23162542610092776 2.2919993815694237 0.43016805689679966 1.6522108611276987
0.7903631242846872 -0.7741457158209439 0.13481565195927273 0.73684 0.88421 59.99977 4.8474130363 5.5595437154 11.039980258819845 4.120014455586398 -0.7121306791 -6.1925672225 0.7273985807 0.9631729462910243 9.929958496460308 0.14684881606851274 2.2919993815694237 0.1758212104096735 1.6521938636073004
0.8239522479445434 -0.741809791031792 0.10079501948016942 0.73684 0.92105 59.99965 4.5877322627 5.1986164331 9.916654794006787 3.9854286177254137 -0.6108841704 -5.3289225313 0.6023036450 1.047931834846256 8.78697081257205 0.08175214658847964 2.2919993815694237 0.041225174050153 1.652204062105837
0.8575446992192556 -0.7094613618369582 0.0667618751150652 0.73684 0.9579 59.99983 4.4230902424 4.8750767472 8.921585092847005 3.9442129956337437 -0.4519865048 -4.4984948504 0.4788772468 1.1360440502759188 7.749803738839541 0.035737303731545385 2.2919993815694237 2.4849690874529547e-05 1.6521887643734459
