dis_1 dis_2 ang_1 e_har
0.94511 0.75445 116.16296 1.2823320756
0.95623 0.97575 101.06945 0.0125602071
1.04917 1.0639 85.02248 0.4800249356
1.03194 1.02727 108.86492 0.2856944963
0.96449 0.98608 118.35519 0.1374783272
0.92612 0.93321 106.57699 0.0456290532
1.07837 1.09178 127.49163 0.9845826218
0.9739 0.82209 134.56696 1.882296546
0.97025 0.97821 117.40709 0.1223145253
0.97423 0.97219 107.29916 0.0183061737
0.96377 0.99386 102.75884 0.0322336799
0.8378 0.96819 105.11359 0.3880320295
0.82907 0.98959 139.93728 1.5708483511
0.91882 0.92926 116.42832 0.1676776687
0.88301 0.86105 104.37802 0.4004903739
0.95896 0.95711 101.42706 0.0060790249
0.81684 1.00581 90.04178 0.7401657169
0.94384 0.94595 106.44719 0.0118389585
1.00399 0.97635 107.12026 0.0708229172
0.96382 0.90378 110.75385 0.1128167768
0.87049 1.04911 94.72112 0.4373851007
0.98064 0.83614 118.14319 0.6361991182
0.86355 1.0555 94.03042 0.5012996783
0.94652 0.94792 103.58405 0.0079949273
1.01262 0.96441 97.1419 0.1006586877
0.88638 0.87682 126.28416 0.8259672466
0.95953 0.9839 103.70778 0.0163450362
0.91108 1.01384 103.32073 0.1417887569
0.89396 0.97642 130.09525 0.5976329857
1.15038 1.00032 111.60279 1.0820664049
0.95303 0.92836 103.00721 0.0281831067
0.95547 0.95615 109.03811 0.0144915911
0.88135 1.15861 96.87686 1.1455952029
1.07614 1.04171 84.24763 0.5929743794
0.96933 0.94155 109.55359 0.0306630047
0.92186 0.97294 99.05773 0.0620839534
0.94141 0.9617 102.88203 0.0102646439
0.94289 0.93791 101.68189 0.0265262306
1.00892 0.94138 94.94316 0.1418517204
0.95634 0.9589 93.25656 0.0954284171
0.97953 0.9368 97.34087 0.0664145557
0.96411 0.98773 109.09235 0.0379680425
1.09412 1.17784 113.43945 1.7601314012
0.90623 0.91938 80.28194 0.8882140931
1.11267 1.10129 100.38134 1.1063561117
0.94217 0.96695 106.11019 0.010610682
0.98843 0.9886 115.53648 0.1266154168
0.90383 0.98532 96.91426 0.1356829732
0.9155 0.91601 112.14918 0.1347133947
0.96915 0.97247 100.81969 0.0126488831
1.01384 1.14094 110.83652 0.9719950632
