dis_1 dis_2 ang_1 delta_int
0.97114 0.96779 112.46466 0.0044693240
1.058 1.06043 83.87499 -0.1390949763
1.05586 0.80397 89.92804 0.0226681770
0.94802 1.04672 98.02019 -0.0142337696
0.89734 0.9858 100.21271 0.0048113494
0.86989 0.87626 86.17889 0.1161252905
0.9739 0.95246 103.27461 -0.0002019710
0.96828 0.96579 102.36448 -0.0009449007
0.85888 1.15976 130.84707 0.0828757073
1.20567 0.90292 81.59319 -0.1607312500
0.93698 0.93398 114.50129 -0.0128676741
1.02691 1.02667 101.50619 -0.0130403141
0.97465 0.95978 103.98947 -0.0001556328
0.98579 0.99148 108.61419 0.0062151794
0.96773 0.98059 83.45806 -0.0230858597
0.80097 0.88281 93.38662 0.0853534556
0.97556 0.94384 97.38323 -0.0002842073
0.98498 0.97448 101.39829 -0.0037077957
0.96286 0.99348 98.83914 -0.0063844301
0.94586 0.94711 106.22445 -0.0013781070
1.08171 1.01922 73.54898 -0.2222272526
1.02911 1.1265 104.82932 -0.0043834578
0.92257 0.94374 83.26272 0.0402839291
0.93527 0.98764 116.13126 0.0022790189
1.0395 0.96207 96.16408 -0.0209127028
0.9794 0.98375 105.74555 0.0014873309
0.98349 0.97314 93.57726 -0.0133021331
0.93881 0.94225 103.38752 0.0008851764
0.9426 0.98798 117.2289 0.0047226084
0.96673 0.96736 102.44783 -0.0009082820
0.94098 0.91782 108.43139 -0.0071011461
1.16647 0.94845 111.69063 0.0369521301
1.06253 0.92201 87.74943 -0.0388034806
0.92414 0.9173 115.46122 -0.0234872221
0.94511 0.75445 116.16296 -0.0693368671
0.95623 0.97575 101.06945 -0.0013359759
1.04917 1.0639 85.02248 -0.1263415626
1.03194 1.02727 108.86492 0.0130254342
0.96449 0.98608 118.35519 0.0113958097
0.92612 0.93321 106.57699 -0.0041056020
1.07837 1.09178 127.49163 0.1075596139
0.9739 0.82209 134.56696 -0.0827527016
0.97025 0.97821 117.40709 0.0099498432
0.97423 0.97219 107.29916 0.0022282827
0.96377 0.99386 102.75884 -0.0018792465
0.8378 0.96819 105.11359 -0.0018214916
0.82907 0.98959 139.93728 -0.0738849827
0.91882 0.92926 116.42832 -0.0229085280
0.88301 0.86105 104.37802 -0.0037591004
0.95896 0.95711 101.42706 0.0001340285
