dis_1 dis_2 ang_1 e_int
0.84071 0.9775 114.88122 0.5692886218267269
0.98615 0.9861 87.90743 0.23257694353761518
0.995 1.01445 109.86815 0.12343203920496733
0.98504 0.89753 98.08162 0.1588963011408481
0.95686 0.95606 108.4584 0.011289247178071438
0.92786 0.98976 107.93097 0.059129307884557884
1.00676 1.00275 110.97725 0.1285819851800863
0.98205 0.94642 101.81857 0.021955132641219868
0.82691 0.8605 95.57574 1.0123314209226693
1.02002 1.00311 95.97853 0.1815259454215044
0.96941 0.96859 107.36463 0.01125145920156449
0.97767 1.03042 108.25915 0.1341090871976911
1.01938 0.85921 103.26658 0.41868775927399676
1.01008 0.97943 115.04376 0.14361799514289852
0.93333 1.02037 107.39228 0.11131630431027605
0.95424 0.95628 95.19718 0.059102575354134594
1.03291 0.96554 108.12248 0.13313650724877643
1.00978 0.86298 136.86291 0.9182588733760441
0.95479 0.95598 102.95367 0.0019559814409115025
0.95242 0.95182 103.90121 0.0025716410336799303
1.0491 0.96145 73.05362 0.9403067343018783
1.01846 0.86339 130.02819 0.751640875111216
1.0345 1.06474 84.38697 0.6554417319223727
0.9208 0.88171 127.40874 0.5331086253623536
0.99017 0.97234 119.05275 0.1597602785400708
1.12516 1.16675 117.02161 1.3393651029641083
0.96252 1.04381 96.89002 0.19647663860418027
0.77496 0.89049 99.22032 1.5775892843160164
0.91053 0.91613 114.63184 0.1884528823896598
0.9521 0.95568 118.33196 0.1205564844428203
0.98532 1.03468 102.06516 0.1490513580099644
0.91621 0.96882 105.93118 0.05730063049764411
0.97425 1.04103 102.07101 0.1579594524504335
1.0679 1.24708 109.42219 1.4656248613799723
0.96496 0.99875 102.23758 0.04236038283505014
0.95986 0.94296 131.10578 0.40130991757001444
0.92665 0.9671 106.19098 0.03349699955782773
0.98054 0.98499 102.84415 0.030305930940076074
1.05374 0.8539 116.53849 0.6591601840945337
0.96873 0.97332 112.64666 0.05138591320800643
0.93996 0.93842 105.98236 0.023136474543200492
1.0558 0.85722 131.04985 0.9417566723946204
0.88884 0.93942 106.43836 0.16624405689837324
0.94977 1.05595 104.55429 0.20295405808306904
0.9545 0.9697 101.38249 0.009441164933612373
0.96169 0.9614 105.25698 0.0009262118609253747
0.95588 1.0403 91.36952 0.2660829362202699
0.97728 0.964 84.46657 0.30044255109583445
1.20494 0.82378 105.20776 1.6219149844643697
0.97728 0.99369 96.11018 0.08526275319871156
0.98474 0.94906 105.10403 0.019649853020357134
0.97688 0.98404 101.31559 0.03022014670201918
0.97753 0.95404 106.56998 0.012683223789225043
0.96634 0.96424 84.37035 0.2963382702858612
0.79873 0.87133 113.40242 1.3077867125643805
1.03082 0.81548 132.33869 1.3155541151379675
1.02481 1.00157 120.98783 0.30827376350913294
0.85603 0.88071 93.30259 0.6382199808136106
0.93944 0.96577 99.91501 0.024963623650605254
0.95239 0.96926 103.12067 0.004902095485555141
0.89215 1.04395 120.91159 0.45994182598239053
0.84548 1.06686 128.51893 1.018721877123081
1.03559 1.24877 80.8218 1.758753969613682
0.98072 0.98011 110.58279 0.04826165973732015
0.97544 0.92879 131.6687 0.4416318555184187
0.98014 0.92585 102.19207 0.04554424191311438
0.81274 0.85828 97.85742 1.1774033330686318
1.15563 0.94808 79.71868 1.130903877286194
0.80822 0.85029 104.1062 1.2738764731484291
0.94009 0.93924 92.07607 0.12700596033284273
0.97845 0.94236 104.13686 0.01716315343074372
0.95526 0.97617 106.97851 0.012483076485550295
0.9237 0.91739 115.49096 0.1625294008542968
1.14303 0.89075 98.32417 0.7710705541233047
0.95072 0.9888 102.40492 0.026427433625149214
0.97114 0.96779 112.46466 0.047624115278400644
1.058 1.06043 83.87499 0.7355650852905613
1.05586 0.80397 89.92804 1.278292331602739
0.94802 1.04672 98.02019 0.1983072909012065
0.89734 0.9858 100.21271 0.14528948852191556
0.86989 0.87626 86.17889 0.7193781610794643
0.9739 0.95246 103.27461 0.007623101035831475
0.96828 0.96579 102.36448 0.006155949234690846
0.85888 1.15976 130.84707 1.4164205502210336
1.20567 0.90292 81.59319 1.4361725698316878
0.93698 0.93398 114.50129 0.0949613481031868
1.02691 1.02667 101.50619 0.21473043227586217
0.97465 0.95978 103.98947 0.006446840020476105
0.98579 0.99148 108.61419 0.05593537588871349
0.96773 0.98059 83.45806 0.3369911432323817
0.80097 0.88281 93.38662 1.2405748575424607
