dis_1 dis_2 ang_1 e_dir
1.06924 0.97979 89.79896 0.3529154557
0.94561 0.93488 120.23973 0.157360686
0.85615 0.94832 96.30833 0.433129163
1.03997 0.98033 93.36951 0.205961299
0.95773 0.91094 109.60217 0.0786772273
1.09937 1.03177 113.12395 0.5879485913
0.93044 1.12817 98.89324 0.5474782398
1.13162 0.93097 98.75717 0.5641794756
0.9087 0.87209 118.01065 0.3805146285
1.06909 1.02822 114.79061 0.467043508
1.01774 0.81273 122.88385 1.0614162558
0.88191 0.98297 123.39877 0.3930101622
0.85667 1.0863 95.44108 0.7272344189
1.01209 0.98934 101.76774 0.0868617265
1.01588 1.09031 109.35341 0.4520714578
0.87732 0.88534 111.69573 0.3819306056
1.0104 0.90095 91.14048 0.2904355284
1.0153 1.02704 107.4189 0.1932192028
1.00335 1.12193 109.8462 0.582572065
0.91223 0.89202 100.14867 0.2277715351
0.94847 1.03117 104.12785 0.1204679787
0.86473 1.01239 109.03158 0.3734077736
0.96774 1.03086 109.72368 0.1481948245
0.98972 0.93961 102.5377 0.0355673142
0.89907 1.01688 86.83178 0.4094689309
0.9222 1.06568 121.45242 0.4837976019
0.95582 1.09774 105.48263 0.3813819723
1.02998 1.07151 103.82614 0.3682278741
0.9462 1.01918 104.4119 0.0888054548
0.92177 1.08896 96.07849 0.400816083
0.90446 1.12069 107.97529 0.6005676784
0.9823 0.934 89.92712 0.1805533557
1.01838 0.81292 116.76642 0.9638561607
0.93766 0.86038 115.91586 0.3817897186
0.81452 1.01191 118.47408 0.9477468868
0.8849 1.07638 110.97542 0.4964912672
0.92737 0.87115 122.21838 0.4113168997
0.88438 0.88369 115.01916 0.3767842277
0.99368 1.12256 95.96829 0.5239496645
0.92689 0.93347 85.20595 0.3558973365
1.04055 1.11603 96.5311 0.5946682281
0.95391 0.82606 116.0953 0.6877986144
0.94509 1.09881 117.73365 0.5380286778
1.00684 1.11449 91.05632 0.5511737338
0.99248 0.81194 113.14547 0.8730409491
0.8957 0.92563 84.96011 0.4989102315
0.93536 0.87374 94.64854 0.3494769052
1.01674 0.84792 121.88459 0.6700808782
0.89678 0.89102 102.39071 0.269077902
0.93916 0.94478 117.66016 0.1127838969
0.94249 1.072 114.23636 0.3575805023
0.99852 0.85087 115.08397 0.4948090158
0.95918 1.11621 87.23343 0.587034999
0.88353 0.90917 105.65246 0.247021528
0.99942 1.11575 88.39966 0.583604816
0.97535 0.89294 122.91693 0.3229202932
1.02026 1.0133 117.94246 0.3039422808
1.12906 0.93733 92.92562 0.5819715342
0.84976 0.98547 120.54388 0.554149443
1.07654 0.96521 118.40194 0.4446344282
0.94724 1.00647 95.6439 0.1004783204
0.80597 1.02454 112.67672 1.0322794112
1.12451 1.014 117.80534 0.7475218542
1.04038 1.05042 101.49169 0.315017802
0.95776 0.91191 109.24849 0.0741269012
1.03152 0.97397 118.61095 0.2775195488
1.01803 1.02414 100.37567 0.1730547331
1.14866 1.00467 90.05786 0.7228092761
1.01204 1.099 97.94082 0.4378627823
0.99989 1.06909 110.58331 0.3375057539
0.82072 1.02826 111.30412 0.8422209795
0.85461 0.99239 123.38123 0.5806483778
1.02436 0.95175 88.30641 0.253253047
0.96216 0.94186 103.03025 0.0099172332
1.01486 1.12194 94.21525 0.5696527819
1.03149 0.8151 101.37196 0.9117431809
0.84914 1.01667 107.90703 0.4999052077
1.10812 0.88856 94.15476 0.6282822328
0.96834 0.96544 106.38929 0.0070799019
0.90653 1.12943 116.73051 0.7508879897
0.79687 1.00767 93.43242 1.2137801368
0.8307 0.93334 113.35469 0.6226429887
0.99198 0.79142 116.6006 1.2052041583
0.90392 0.95134 92.16521 0.2223650299
1.08082 1.04152 91.25147 0.4880248417
0.99995 1.03749 113.5485 0.2558168439
1.16414 0.97467 88.92294 0.7862087306
0.87405 1.01586 95.27165 0.3738324073
1.14291 0.92404 106.58494 0.6525884496
0.85292 0.94061 116.29265 0.439653765
0.82301 1.00875 99.02661 0.7733750709
0.96501 0.86772 90.33965 0.4539387712
0.98251 1.1456 117.62005 0.7979775381
0.99819 0.829 101.67578 0.6629293015
1.02219 0.85076 121.91293 0.6644926174
1.01132 1.03458 97.04311 0.2002926067
1.17043 0.95342 99.08362 0.7420864696
0.96213 1.17589 108.14231 0.8128645363
1.00518 1.04128 104.35821 0.1981524203
1.13478 0.95582 119.20444 0.7526106037
1.01457 0.8005 121.84788 1.2002616046
1.12073 1.04561 93.58277 0.6494334091
1.08394 0.88532 113.91498 0.5621651799
0.95601 1.12374 117.73753 0.6635433699
0.95388 1.08837 103.07593 0.3310679155
0.94386 1.02654 95.12646 0.1544496664
1.04467 0.84295 97.6519 0.6698573448
0.97999 0.81859 88.84659 0.9785347796
0.98931 1.14535 91.75688 0.6653353867
1.00019 0.97199 103.52145 0.0444319783
1.06484 0.9879 98.73707 0.2538492866
0.84351 1.00735 109.13002 0.5309627816
0.91974 1.15075 120.14811 0.901067278
1.04777 1.08575 88.31487 0.5674307899
0.99849 0.83717 122.85333 0.7341695019
0.96137 0.84816 117.81264 0.4971046227
0.94448 1.11049 101.30712 0.4375267353
0.98545 1.15267 91.3365 0.7030365307
0.99952 1.07207 103.34392 0.2973653976
1.08946 1.03822 92.49509 0.4991188558
1.01079 1.0177 88.85216 0.2600170628
0.96888 0.93766 88.07483 0.212728836
1.00445 1.12067 98.86485 0.5215024221
0.99829 0.81324 95.2954 0.9260086657
0.84881 0.99773 91.5924 0.5984157802
0.80142 1.01857 114.99015 1.1013193642
0.90152 1.05703 116.46022 0.4125098006
1.10183 1.0007 118.06715 0.605666352
1.10155 0.9372 108.5683 0.4338052762
0.83556 0.97866 104.32739 0.5535035155
1.10614 0.96501 88.99441 0.5092797696
0.91608 1.05773 94.11122 0.3166064299
0.98012 0.8676 90.50685 0.4537348137
0.98871 1.11718 93.33654 0.5126275647
1.02331 0.96305 118.91124 0.2483246759
1.00018 0.81186 89.48482 1.069170709
0.85933 0.96178 93.52351 0.4487701834
0.82494 0.95806 98.10594 0.7097276826
1.08309 0.99726 98.69706 0.3394178409
0.91012 0.89361 121.06845 0.3167376758
0.99892 0.96667 110.18385 0.0693852682
1.09876 0.88977 113.59647 0.6080114999
0.93879 0.91258 107.27238 0.073789695
0.93751 1.00678 88.068 0.2436508645
0.78858 0.99989 92.66308 1.3535771085
0.97444 1.07479 120.77457 0.4916651646
1.02741 1.12036 99.37741 0.5715916095
1.07375 0.9546 112.19513 0.332572961
0.99703 1.03739 117.35121 0.3098470128
0.84654 1.03589 107.32289 0.5781869692
1.04328 0.93108 121.7337 0.3836152189
1.07962 1.04579 118.80347 0.6459583464
1.05146 1.00687 104.93337 0.2387533348
1.02738 0.84265 94.38448 0.6637947623
1.14704 0.94761 94.60155 0.6423393872
