dis_1 dis_2 ang_1 e_nor
1.16252 0.96284 110.09649 1.0372117160581273
1.08036 1.05996 94.08136 0.5182672446140355
1.14687 0.92989 102.39901 0.9275332769579492
0.98152 1.02801 93.21951 0.1801130749373782
0.86786 1.00385 85.26572 0.621256840133335
0.96017 0.8312 121.25171 0.6276964975565382
0.98092 1.00759 96.12071 0.09734386124640543
1.08401 1.08542 88.1019 0.6895403172476354
1.01313 0.81182 87.83158 0.9962792090439302
1.16301 0.97741 94.80692 0.9891571824358538
1.04726 0.88836 92.57564 0.4463636072161781
0.84836 1.0497 98.54427 0.5973232665550876
0.96723 0.8619 99.78714 0.29407429170646526
0.88309 0.96116 109.58709 0.16709430170832212
0.99035 1.05839 109.09566 0.281723490674308
1.16657 0.97052 110.19194 1.0640939022013023
0.81497 0.97633 99.95968 0.6358624277170626
0.89304 0.94769 86.92885 0.43587752057898244
0.98821 1.13494 88.47915 0.8132337948531974
0.99129 0.77412 106.86297 1.012084191215679
0.97256 0.84907 85.40529 0.7400250938256481
1.06094 0.86991 111.96791 0.5421474593220543
0.89944 0.95947 123.26237 0.3059548828543959
1.03748 0.862 108.43259 0.434777218673323
0.93026 0.91391 90.32003 0.28082027111857366
1.03006 1.08888 94.7657 0.4766484931220473
1.02123 0.84719 119.42096 0.5795218016198016
1.03492 1.13876 91.32466 0.816075466144596
1.00116 1.11837 111.61296 0.6657076321913094
1.09939 0.8935 104.1789 0.6551376705017005
1.00063 1.04443 107.6601 0.22483816067845233
0.87935 1.00115 96.48502 0.2768185231946445
1.00364 1.11769 89.30944 0.6738629100585108
1.10801 0.90235 115.56839 0.7769536667614143
0.97032 0.83024 93.31586 0.6303965504036668
0.85224 1.0497 117.90152 0.6508494073883468
0.99836 1.10018 92.21099 0.525160008724429
1.113 0.95813 88.6718 0.6867925771197114
0.88744 0.90917 108.59623 0.2259989464753608
0.9257 1.01143 105.05232 0.10423330861694312
0.85465 0.94102 105.26339 0.322547391671391
1.10069 1.04042 105.94762 0.5648820005302194
1.11519 0.9197 120.6738 0.8596577912962828
0.9398 1.07537 96.91408 0.3778297418667377
0.99628 0.80539 100.44595 0.734435728460642
0.95231 0.90033 112.10586 0.12383341872691504
1.0716 0.92864 113.96037 0.42750095945229705
1.04762 0.8883 104.90851 0.35114163586742714
0.81542 1.03336 121.90986 0.9081226910107961
1.06056 0.9709 94.57281 0.28805996007853446
0.92704 1.15857 108.39363 1.076822240624798
1.0049 0.88347 99.91048 0.23002376957436071
1.01572 1.11479 115.76268 0.7077187630457056
0.96836 1.0446 109.78694 0.21312004158322267
0.91558 0.98973 93.51128 0.16737041737128272
1.03163 0.98859 93.61375 0.19059339795352823
0.88867 0.91182 103.28389 0.21890393269436137
0.99796 1.02725 113.12524 0.20805690450058414
1.09611 1.00807 103.17599 0.4682216182795738
0.7979 1.01103 109.17756 0.8075533613481051
0.94531 1.06021 117.89944 0.3936590276463036
0.86277 0.91993 100.67567 0.35306360614746735
0.84979 0.96203 121.98485 0.5140059556637191
1.03915 0.90706 86.0648 0.4846933037155452
1.10396 0.92402 104.13555 0.5845356070364145
0.98347 1.06932 113.17035 0.3701910560388024
0.98996 0.97356 87.42164 0.21044434504342235
0.94125 0.89224 118.73738 0.24829081288725546
1.13153 0.97108 118.76663 0.8656632024314905
1.0158 0.8102 114.69457 0.7576827585160695
