dis_1 dis_2 ang_1 delta_har
1.01447 0.99335 91.76612 0.0058489922
1.16375 0.75014 130.24891 0.3471613707
0.69081 1.12807 82.26729 1.4950555524
0.96753 0.90158 103.1164 0.0124735248
0.66292 1.05037 105.23357 2.6979063532
1.31674 1.03293 130.59759 -1.5968880783
1.14385 1.05265 99.60193 -0.3254871618
1.12008 1.20693 123.83813 -0.7824479640
1.10307 1.07104 88.86864 -0.1250941066
0.92467 1.05943 81.06252 -0.0321392702
1.00615 1.28795 104.71283 -1.4211149020
1.07291 0.87055 135.0886 -0.1200051187
0.79012 1.04677 65.88896 0.1456184434
1.38491 0.94484 91.18312 -2.6736245027
1.16958 1.07011 132.72385 -0.3317620598
0.80402 1.01921 134.48115 0.0864905498
1.07565 0.88494 94.16869 -0.0596279014
0.8042 1.05379 64.38214 0.0411761048
0.68736 0.96256 123.07447 1.8892522667
1.01388 0.66471 126.8058 2.5213267964
0.73874 1.14412 137.66771 0.4513142897
0.87115 0.84743 141.948 -0.3787662277
1.2848 0.92701 113.17976 -1.3617928735
1.00061 1.1547 85.84208 -0.2518971875
0.91339 0.82726 127.58619 0.0331639458
0.74351 1.13514 117.32282 0.6401084867
1.12373 0.72679 69.80254 0.6102645981
0.78047 0.93219 124.62563 0.3542973486
1.05929 0.8939 67.98341 -0.0676335648
1.20193 1.25023 80.53764 -1.0801411937
0.78839 1.2081 136.84795 -0.3509483815
1.17141 0.95089 84.40851 -0.3652497277
1.08538 0.80174 97.04213 0.1893032779
1.04733 0.89546 83.29739 -0.0255618062
1.25282 1.0544 84.27018 -0.8505694264
0.96477 0.84435 76.90139 0.0594807534
1.19164 0.9642 93.35547 -0.5244775244
1.24507 0.94713 117.48496 -0.9474485493
1.14444 1.17692 86.33583 -0.5271638780
0.97913 1.19307 137.52243 -0.4414643108
1.09889 1.17591 86.53523 -0.4052443818
0.96733 0.76929 108.15083 0.5746183721
1.21686 0.79892 105.73227 -0.4052287642
0.70814 0.98665 83.95286 1.4272471497
0.65705 0.98968 131.71865 2.6676661625
1.11055 0.84172 79.30437 -0.1087145726
0.87725 1.16185 124.07685 -0.3208594312
0.93217 0.85193 106.85922 0.0886704446
0.78913 1.22233 132.48191 -0.4024605986
0.87604 1.22739 130.88555 -0.7316277912
0.95354 0.87032 68.87514 -0.0160595228
1.07611 0.76259 112.38906 0.5715134664
0.72911 1.05222 75.05869 0.8781631708
0.84639 0.80217 100.73534 0.4177700827
0.85462 1.26524 81.65791 -1.1039449229
0.77367 1.06765 107.08454 0.4703391771
1.20623 1.22686 85.11688 -1.0853320996
