dis_1 dis_2 ang_1 delta_int
0.66292 1.05037 105.23357 0.0399660249
1.31674 1.03293 130.59759 0.1728478521
1.14385 1.05265 99.60193 -0.0440439558
1.12008 1.20693 123.83813 0.1162087898
1.10307 1.07104 88.86864 -0.1258008545
0.92467 1.05943 81.06252 -0.0605183155
1.00615 1.28795 104.71283 -0.0068470617
1.07291 0.87055 135.0886 0.0317982946
0.79012 1.04677 65.88896 0.0939909217
1.38491 0.94484 91.18312 -0.1459892802
1.16958 1.07011 132.72385 0.1554126575
0.80402 1.01921 134.48115 -0.0516174055
1.07565 0.88494 94.16869 -0.0129503981
0.8042 1.05379 64.38214 0.0607963701
0.68736 0.96256 123.07447 -0.1149684955
1.01388 0.66471 126.8058 -0.0747098245
0.73874 1.14412 137.66771 0.0350628067
0.87115 0.84743 141.948 -0.1899122212
1.2848 0.92701 113.17976 0.0655653329
1.00061 1.1547 85.84208 -0.1444527319
0.91339 0.82726 127.58619 -0.1089911073
0.74351 1.13514 117.32282 0.0262633730
1.12373 0.72679 69.80254 0.0047806033
0.78047 0.93219 124.62563 -0.1084035115
1.05929 0.8939 67.98341 -0.0750887738
1.20193 1.25023 80.53764 -0.3986633721
0.78839 1.2081 136.84795 0.1105199805
1.17141 0.95089 84.40851 -0.1396471824
1.08538 0.80174 97.04213 0.0106009759
1.04733 0.89546 83.29739 -0.0233121280
1.25282 1.0544 84.27018 -0.2472666733
0.96477 0.84435 76.90139 0.1173250889
1.19164 0.9642 93.35547 -0.0777987791
1.24507 0.94713 117.48496 0.0811286019
1.14444 1.17692 86.33583 -0.2259013529
0.97913 1.19307 137.52243 0.1648989420
1.09889 1.17591 86.53523 -0.1997643764
0.96733 0.76929 108.15083 -0.0172618332
1.21686 0.79892 105.73227 0.0302541275
0.70814 0.98665 83.95286 0.1494125275
0.65705 0.98968 131.71865 -0.1136507101
1.11055 0.84172 79.30437 -0.0513757999
0.87725 1.16185 124.07685 0.0719887991
0.93217 0.85193 106.85922 -0.0112099619
0.78913 1.22233 132.48191 0.1108006532
0.87604 1.22739 130.88555 0.1273233977
0.95354 0.87032 68.87514 0.1512317544
1.07611 0.76259 112.38906 0.0042979250
0.72911 1.05222 75.05869 0.1141420311
0.84639 0.80217 100.73534 0.0241148928
0.85462 1.26524 81.65791 -0.1731137156
0.77367 1.06765 107.08454 0.0083511514
1.20623 1.22686 85.11688 -0.3007278095
1.06066 1.23169 122.8568 0.1110075340
0.95766 1.121 82.40041 -0.1263785303
0.99555 0.68283 100.15237 0.0390241750
0.91221 1.15742 115.54223 0.0489850027
1.00103 1.23106 96.42603 -0.0727037653
1.11529 0.68236 88.28151 0.0517828635
0.94754 0.88117 84.63381 0.0639095923
1.17003 0.74549 102.92181 0.0236779483
0.92305 0.76667 114.99159 -0.0699457318
1.08336 1.25941 88.81203 -0.1990460598
1.21962 0.9028 93.75781 -0.0607245438
0.90849 1.03048 122.04724 0.0132180954
1.12475 1.09344 101.9413 -0.0312551629
1.00252 0.83658 120.08608 -0.0249797942
1.24709 0.95857 84.43312 -0.1885445673
1.14893 1.13282 77.23522 -0.3421203374
1.10592 1.23038 97.18643 -0.0959136398
0.84079 0.89756 71.20615 0.2755984165
0.84048 0.99709 88.40188 0.0412170193
0.99791 1.35863 117.24112 0.0930728367
1.02489 0.75805 132.76434 -0.0679668017
0.86638 1.21991 133.23009 0.1295361337
0.83932 1.0158 96.84343 0.0153680197
0.99097 0.93879 111.99761 0.0030284599
1.01863 0.90801 71.67409 -0.0189594760
0.93597 0.69274 104.55091 -0.0028819291
1.02853 0.69821 105.38788 0.0056850591
1.13123 1.01699 100.52975 -0.0288654236
1.02231 0.91529 113.49274 0.0072442495
0.89236 1.25844 117.8682 0.0867398766
1.19219 0.79243 67.1386 -0.1992544880
1.20799 0.77788 113.23366 0.0542542018
0.92974 1.03024 128.09641 0.0261132684
1.11696 1.12505 123.04257 0.1007706716
0.80421 1.03044 90.34774 0.0346847140
1.04961 1.41056 78.70308 -0.4393210297
1.12715 0.7046 75.8141 0.0245425638
0.96812 1.17995 78.37953 -0.2208110770
1.15372 0.90824 97.88137 -0.0234483116
0.93744 0.98893 120.83816 0.0042917007
1.1965 0.97052 103.27015 -0.0085344840
0.67574 1.01435 78.0108 0.2058516974
1.17935 0.933 129.50771 0.1105354241
0.99966 1.32871 90.43777 -0.1642807142
1.11951 0.89993 83.20165 -0.0821255307
0.98582 1.21618 82.02622 -0.2158739287
1.39261 0.94765 98.49685 -0.0568008950
1.01205 1.29153 91.3457 -0.1463833497
0.71281 0.94445 121.96969 -0.1190871407
0.9598 1.05054 117.95026 0.0308015377
0.97578 1.04716 138.07708 0.0763705846
0.88649 0.8562 91.73339 0.0752677865
1.28327 1.03351 90.5075 -0.1632629905
0.83701 1.01872 109.41076 -0.0029979257
1.05158 0.88987 109.01273 0.0077573934
1.32613 0.91051 91.3199 -0.1149094165
1.03538 1.22178 111.13553 0.0364042838
1.11418 1.14758 78.75928 -0.3015640992
1.21923 0.81749 121.03676 0.0817669450
1.15632 0.73847 100.82555 0.0203161663
1.00811 0.97372 136.8639 0.0459572709
0.73328 1.07615 110.7378 0.0028379125
1.16103 0.88888 119.47643 0.0604380125
1.40308 0.95043 132.56322 0.2034436655
1.33571 0.98375 104.46628 -0.0049036299
1.0443 0.79009 137.92324 -0.0402546151
1.10287 1.18328 87.64321 -0.1910593873
1.41058 0.97461 77.45285 -0.4197287298
1.22267 1.00151 132.54418 0.1577650436
0.95594 0.92847 77.38873 0.0358591089
1.27892 0.92223 72.89378 -0.3620782365
1.04086 1.09438 99.72919 -0.0329632992
1.31791 0.94408 85.95061 -0.1963376657
1.2431 1.18557 82.46805 -0.3465585738
1.05121 1.05027 133.73656 0.1065852248
0.91779 1.26129 110.77053 0.0484603812
0.75775 0.97406 68.97316 0.2751343427
1.05368 1.38024 82.26267 -0.3481790144
1.2609 0.95804 135.66418 0.1817615999
1.14289 1.00594 106.07997 0.0045123674
0.98239 0.8281 112.02547 -0.0192899265
1.27753 0.8554 122.85538 0.1153527473
1.2259 1.13962 110.27733 0.0199747549
0.98106 1.33882 135.6068 0.2101435896
