c_1 c_2 c_3 dis_1 dis_2 ang_1 delta_dir delta_har delta_nor delta_int pot_dir_full pot_har_full pot_nor_full pot_int_full pot_dir_104 pot_har_104 pot_nor_104 pot_int_104 error_dir_abs_full error_dir_abs_104 dir_error_diff error_har_abs_full error_har_abs_104 har_error_diff error_nor_abs_full error_nor_abs_104 nor_error_diff error_int_abs_full error_int_abs_104 int_error_diff
-0.8 -0.5 -0.5 0.62877 0.99385 151.20181 7722.1824793999995 2936.2343289 1614.0353788 -131.460439 6602.0572540095145 529.147081699 1166.6987598014216 -254.28088004511253 5098.708848906137 -208.23239737283535 1747.734928105027 -218.18974013376194 1120.1252253904856 2623.473630493863 1503.3484051033772 2407.087247201 3144.4667262728353 737.3794790718352 447.33661899857833 133.69954930502703 -313.6370696935513 122.8204410451125 86.72930113376192 -36.09113991135058
-0.8 -0.5 -0.4 0.66413 0.95654 150.411 5646.9477378 1581.4166759 427.8454525 -261.1432126 5081.121017558336 -353.34185920962113 -229.82838653585986 -278.25824110982245 4113.9330509277825 -665.8203278438008 719.2735012757068 -239.7914265520737 565.826720241664 1533.0146868722175 967.1879666305534 1934.758535109621 2247.2370037438004 312.4784686341793 657.6738390358598 291.4280487757069 -366.24579026015294 17.115028509822437 21.351786047926314 4.236757538103877
-0.8 -0.5 -0.30000000000000004 0.69986 0.91935 149.81361 4125.364819099999 620.1582122 -455.6762204 -312.6780272 3859.185591162644 -1110.5495876702491 -1478.2804452756775 -300.10085006444183 3284.3912198602725 -1107.4763626838794 -209.93701592158624 -260.66296104037195 266.17922793735585 840.9735992397272 574.7943713023712 1730.7077998702491 1727.6345748838794 -3.0732249863697234 1022.6042248756775 245.73920447841377 -776.8650203972637 12.57717713555817 52.015066159628034 39.43788902406986
-0.8 -0.5 -0.19999999999999996 0.7359 0.8823 149.39606 3086.7297098000004 -18.2453009 -1065.8159267 -331.75252820000003 2967.443940195553 -1691.5608567369475 -2450.9115342054824 -317.6122053906857 2655.2336691896044 -1479.0722383589004 -943.0494845175235 -278.142196102883 119.28576960444737 431.4960406103956 312.21027100594824 1673.3155558369474 1460.8269374589004 -212.48861837804702 1385.0956075054826 122.76644218247645 -1262.3291653230062 14.14032280931432 53.61033209711697 39.47000928780265
-0.8 -0.5 -0.09999999999999998 0.77221 0.84541 149.14906 2482.4654081999997 -382.37049 -1423.5173962000001 -341.1628234 2425.380342249679 -2056.5335882692866 -3065.2402924983317 -328.93907350031617 2262.2560437846296 -1728.045971717114 -1410.8602978335387 -289.7823017556298 57.08506595032104 220.20936441537043 163.12429846504938 1674.1630982692866 1345.675481717114 -328.48761655217254 1641.7228962983315 12.657098366461339 -1629.0657979318703 12.223749899683833 51.380521644370184 39.15677174468635
-0.8 -0.5 0.0 0.80874 0.80868 149.0672 2284.2527800000003 -500.5367059 -1541.2635497 -345.77107670000004 2243.6585532905788 -2180.807955621617 -3274.7825915908707 -332.8456506482358 2128.6433780604584 -1815.7191606199874 -1571.3410820089262 -293.8578983304624 40.59422670942148 155.60940193954175 115.01517523012028 1680.271249721617 1315.1824547199876 -365.0887950016295 1733.5190418908705 30.07753230892618 -1703.4415095819443 12.925426051764221 51.913178369537626 38.987752317773406
-0.8 -0.5 0.09999999999999998 0.84547 0.77216 149.14869 2482.7821433 -382.0533567 -1423.194084 -341.2802258 2425.6638557643937 -2056.1799815657423 -3064.512173808624 -328.8988894906271 2262.4351115817403 -1727.8219521482079 -1410.358505981978 -289.74735660447345 57.11828753560644 220.34703171825987 163.22874418265343 1674.1266248657423 1345.7685954482079 -328.35802941753445 1641.318089808624 12.835578018022042 -1628.482511790602 12.381336309372937 51.53286919552657 39.15153288615363
-0.8 -0.5 0.19999999999999996 0.88238 0.73587 149.3953 3087.3117886 -17.6625598 -1065.1811185 -331.5453024 2967.954357323126 -1690.9353238160975 -2449.5908190837235 -317.5337346608179 2655.563723078159 -1478.6533263888778 -942.1584598882091 -278.0748957315503 119.35743127687415 431.7480655218411 312.390634244967 1673.2727640160977 1460.9907665888777 -212.28199742721995 1384.4097005837236 123.02265861179085 -1261.3870419719328 14.011567739182107 53.47040666844971 39.45883892926761
-0.8 -0.5 0.30000000000000004 0.91945 0.69984 149.81244 4126.1046287 620.8989874 -454.7536403 -312.3981542 3859.8171168725735 -1109.7795719140322 -1476.6060053575586 -299.9873460742997 3284.8178524054224 -1106.914306579626 -208.86415285931966 -260.5678214390809 266.28751182742684 841.2867762945777 574.9992644671509 1730.678559314032 1727.8132939796262 -2.8652653344058763 1021.8523650575588 245.8894874406803 -775.9628776168785 12.410808125700335 51.830332760919084 39.41952463521875
-0.8 -0.5 0.40000000000000013 0.95664 0.66412 150.40937 5647.6734491 1582.1437475 429.0204329 -260.8344802 5081.733514732451 -352.54951428889854 -228.0832609775345 -278.11344998087696 4114.381779556126 -665.178391323271 720.2610020843252 -239.6738311876306 565.9399343675489 1533.291669543874 967.3517351763251 1934.6932617888986 2247.3221388232705 312.62887703437195 657.1036938775345 291.2405691843252 -365.86312469320933 17.278969780876952 21.160649012369387 3.881679231492434
