c_1 c_2 c_3 dis_1 dis_2 ang_1 delta_dir delta_har delta_nor delta_int pot_dir_full pot_har_full pot_nor_full pot_int_full pot_dir_104 pot_har_104 pot_nor_104 pot_int_104 error_dir_abs_full error_dir_abs_104 dir_error_diff error_har_abs_full error_har_abs_104 har_error_diff error_nor_abs_full error_nor_abs_104 nor_error_diff error_int_abs_full error_int_abs_104 int_error_diff
-0.8 -0.5 0.09999999999999998 0.84547 0.77216 149.14869 2482.7821433 -382.0533567 -1423.194084 -341.2802258 2478.0907339070723 -255.25942206461423 -1240.3908649607224 -331.6063809828481 2498.9456330278454 -63.02410585459431 -906.810275039448 -320.37707550107854 4.691409392927781 16.163489727845093 11.472080334917312 126.7939346353858 319.02925084540567 192.23531621001987 182.80321903927742 516.383808960552 333.5805899212745 9.673844817151888 20.90315029892148 11.229305481769593
-0.8 -0.5 0.19999999999999996 0.88238 0.73587 149.3953 3087.3117886 -17.6625598 -1065.1811185 -331.5453024 3076.03753828236 124.99569919781521 -867.336430569356 -318.1422576893246 3128.0628293463865 339.78838648420805 -468.9372052366721 -290.39332209330837 11.274250317640178 40.751040746386465 29.476790428746288 142.6582589978152 357.45094628420804 214.79268728639283 197.84468793064391 596.2439132633278 398.39922533268395 13.403044710675438 41.15198030669165 27.74893559601621
-0.8 -0.5 0.30000000000000004 0.91945 0.69984 149.81244 4126.1046287 620.8989874 -454.7536403 -312.3981542 4109.878158284102 795.8953236417756 -231.32835012384803 -272.2780611456626 4173.7806331732145 1012.6664596213311 249.37757252583665 -232.21444687342424 16.226470415897865 47.67600447321385 31.449534057315987 174.99633624177557 391.767472221331 216.77113597955542 223.42529017615195 704.1312128258365 480.70592264968457 40.12009305433739 80.18370732657576 40.06361427223837
-0.8 -0.5 0.40000000000000013 0.95664 0.66412 150.40937 5647.6734491 1582.1437475 429.0204329 -260.8344802 5626.376139487367 1808.341073106412 690.7136255739118 -158.88394773945774 5621.178335563125 1955.5256876734682 1234.2889496925302 -136.64238189459772 21.297309612632986 26.495113536874726 5.1978039242417395 226.19732560641205 373.38194017346814 147.1846145670561 261.69319267391177 805.2685167925302 543.5753241186185 101.95053246054225 124.19209830540228 22.241565844860034
-0.8 -0.5 0.5 0.99396 0.62876 151.19965 7722.643149099999 2936.6967765 1615.4150881 -131.7191472 7672.720657648708 3222.9294840866582 1932.2329730425072 68.61182082377884 7433.414152962905 3162.34429796089 2468.696032411219 4.083557553773787 49.922491451291684 289.2289961370942 239.30650468580254 286.23270758665865 225.64752146088995 -60.5851861257687 316.8178849425072 853.2809443112191 536.4630593687118 200.33096802377884 135.80270475377378 -64.52826327000506
-0.8 -0.5 0.6000000000000001 1.03139 0.59383 152.20165 10445.9745406 4779.518847900001 3141.2294461 147.4145895 10280.310887018479 5097.866780860092 3533.5867777665408 461.79018805768 9546.176244877908 4614.5551784891 3928.344168046812 193.37670643526508 165.6636535815217 899.7982957220927 734.134642140571 318.34793296009155 164.96366941090025 -153.3842635491913 392.3573316665405 787.1147219468115 394.757390280271 314.37559855767995 45.96211693526509 -268.41348162241485
-0.8 -0.5 0.7 1.06891 0.5594 153.43941 13939.1217074 7232.064349 5048.5167397000005 679.9081986 13448.51999459363 7472.311350759848 5531.065891080047 1067.3365417186808 11869.054053435386 6273.556212144217 5573.111635526781 428.67161917990353 490.6017128063702 2070.067653964614 1579.4659411582436 240.24700175984836 958.5081368557828 718.2611350959345 482.54915138004685 524.5948958267812 42.045744446734375 387.4283431186809 251.2365794200964 -136.1917636985845
-0.8 -0.5 0.8 1.10652 0.52558 154.94357 18351.337229599998 10443.58557 7379.542703900001 1606.9775969 17132.16256426321 10346.466464530735 7935.9584206417585 1915.8848189094144 14293.356808438039 8074.884320352215 7336.041632505379 701.3756114018139 1219.1746653367873 4057.9804211619594 2838.805755825172 97.11910546926461 2368.7012496477846 2271.58214417852 556.4157167417578 43.501071394620894 -512.9146453471369 308.90722200941445 905.6019854981861 596.6947634887716
-0.8 -0.4 -0.8 0.55788 1.14293 152.28182 14554.433105099999 7329.6097509 4874.4315659 840.2970495 14062.482866908573 7588.946592708704 5441.615924987904 1246.644995837717 12414.932657882247 6301.97292319798 5446.017942976442 550.1132978553297 491.9502381914267 2139.5004472177525 1647.5502090263258 259.33684180870387 1027.6368277020201 768.2999858933163 567.1843590879035 571.586377076442 4.402017988538432 406.3479463377171 290.1837516446702 -116.16419469304685
-0.8 -0.4 -0.7000000000000001 0.59236 1.10524 150.97481 10956.3168032 4932.1884486 3359.2545905 290.0633648 10806.991533393262 5300.273496793412 3685.9329426934096 614.0293207005232 10038.31938889419 4740.479250094048 3985.3333101346216 310.38556205693857 149.325269806738 917.9974143058107 768.6721444990727 368.0850481934126 191.70919850595158 -176.37584968746103 326.6783521934098 626.0787196346218 299.40036744121204 323.96595590052317 20.32219725693857 -303.6437586435846
-0.8 -0.4 -0.6000000000000001 0.62733 1.06763 149.89642 8118.1912193 3134.6651924 2108.1625746 -1.1188031 8087.745787945277 3482.8849734288356 2296.1552073297507 200.6626367906367 7834.94680893947 3356.783062135419 2697.8538800903775 114.40665885893928 30.445431354722885 283.2444103605294 252.79897900580653 348.21978102883565 222.11786973541913 -126.10191129341652 187.99263272975077 589.6913054903772 401.69867276062644 201.7814398906367 115.52546195893927 -86.25597793169743
